Title,Model,Manufacturer,Price,Rating Score,Ratings
"        Champion Men's T-Shirt, Classic Tee for Men, Men's T-Shirt, Men's Tee (Reg. Or Big & Tall)       ",T0223,Champion,11.95,4.5,30112
"        Gildan Adult Heavy Cotton T-Shirt, Style G5000, Multipack       ",G5000,Gildan,6.79,4.5,80345
        Under Armour Men's Tech 2.0 Long-Sleeve T-Shirt       ,1328496,Under Armour,15.97,4.6,7092
        Cutter & Buck Men's Big & Tall Short-Sleeve Shirt       ,BCW01797,Cutter & Buck Mens Collections,58.25,4.2,170
"        Hanes Men's FreshIQ Polo Shirt, Men’s X-Temp Polo Shirt, Moisture-Wicking Performance Polo Shirt       ",O42X0,Hanes Men's Athletic Child Code,8.79,4.4,26101
        Nautica Men's Short Sleeve Solid Crew Neck T-Shirt       ,V61704,No,11.48,4.4,11432
"        Hanes Sport Men's T-Shirt Pack, Cool DRI Moisture-Wicking Performance T-Shirt, Performance Tee, 2-Pack       ",O4820,No,19.0,4.4,17228
        Lucky Brand Men's Venice Burnout Notch Neck Tee Shirt       ,7M62161,No,34.45,4.5,8061
        Under Armour Men's New Freedom Flag T-Shirt       ,1370810,Under Armour,25.16,4.7,8708
"        Gildan Adult Ultra Cotton Long Sleeve T-Shirt, Style G2400, Multipack       ",G2400,Gildan,10.55,4.5,133391
"        Amazon Essentials Men's Regular-Fit Short-Sleeve Crewneck Pocket T-Shirt, Pack of 2       ",AEM20113SS22,Amazon Essentials,10.95,4.4,384
"        Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x       ",129LSBL,No,9.99,4.5,53196
"        Hanes Men's Long-Sleeve Pack, Cool Dri Moisture-Wicking T-Shirts, Performance Tee, 2-Pack       ",O482L,Hanes Men's Athletic Child Code,21.32,4.5,62589
        Comfort Colors C1717 6.1 oz. Ringspun Garment-Dyed T-Shirt       ,non-value,unknown,8.77,4.6,19557
        Heavy Cotton 100% Cotton Tshirt (G500)       ,G5000,Gildan,7.09,4.4,1872
        Disney Men's Full Size Mickey Mouse Distressed Look T-Shirt       ,DSSC8WAMSC1P1XX,Disney,11.49,4.6,4836
        Under Armour Men's Tech 2.0 V-Neck Short-Sleeve T-Shirt       ,1328190,Under Armour,17.95,4.6,8639
"        Amazon Essentials Men's Slim-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2       ",AEM20114SS22,Amazon Essentials,16.1,4.4,394
"        Amazon Essentials Men's Slim-Fit Short-Sleeve V-Neck T-Shirt, Pack of 2       ",AE181156,Amazon Essentials,9.69,4.3,8263
"        Hanes Men's T-Shirts, X-Temp Men's Performance T-Shirt Pack, Moisture-Wicking T-Shirts, Cotton Blend Tees, 2-Pack       ",O4200,No,14.58,4.3,14867
        Under Armour Men's Tactical Tech T-Shirt       ,1005684,Under Armour,14.97,4.5,4815
"        Gildan DryBlend T-Shirt, Style G8000, Multipack       ",G8000P2,Gildan,11.76,4.5,7234
        Columbia Men's Thistletown Hills Short Sleeve       ,1990751,Columbia,19.26,4.6,356
"        Amazon Essentials Men's Regular-Fit Short-Sleeve V-Neck T-Shirt, Pack of 2       ",AE181158,Amazon Essentials,9.69,4.2,10804
        Buffalo David Bitton Men's Short Sleeve Kasum Henley       ,BM21411,Buffalo David Bitton,22.39,4.2,287
"        Gildan Men's Crew T-Shirts, Multipack, Style G1100       ",GIL1100,Gildan,19.99,4.6,263319
